year,baseline_forecast,digital_forecast,event_adjustment,event_forecast,optimistic,base,pessimistic,lower,upper,lower_ci,upper_ci
2025,61.14006514658104,11.033333333333303,1.5,62.64006514658104,63.14006514658104,61.14006514658104,59.14006514658104,59.64006514658104,65.64006514658104,58.14006514658104,64.14006514658104
2026,64.70195439739473,12.616666666666333,2.5,67.20195439739473,66.70195439739473,64.70195439739473,62.70195439739473,64.20195439739473,70.20195439739473,61.70195439739473,67.70195439739473
2027,68.26384364820933,14.199999999999818,3.5,71.76384364820933,70.26384364820933,68.26384364820933,66.26384364820933,68.76384364820933,74.76384364820933,65.26384364820933,71.26384364820933
